ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site
2,0.1766516864299774,0.0041431821882724,0.25050613284111023,0.3501787483692169,0.07408329099416733,0.29904407262802124,0.3227786421775818,H1975,4.0,gefitinib,0
3,0.095654010772705,0.0006589205586351,0.08468703925609589,0.15504081547260284,0.035582028329372406,0.09968490898609161,0.10973548144102097,H1975,4.0,gefitinib,0
1,0.156871497631073,0.0262065641582012,0.2617446184158325,0.5612857341766357,0.007326182909309864,0.33053484559059143,0.3752242624759674,H1975,4.0,gefitinib,1
2,0.1901395320892334,0.0113600753247737,0.2216077595949173,0.39653950929641724,0.007660822011530399,0.2712097465991974,0.2990337908267975,H1975,4.0,gefitinib,1
3,0.1413051635026931,0.0132273975759744,0.2108040153980255,0.4318501651287079,0.018596680834889412,0.30001601576805115,0.34963253140449524,H1975,4.0,gefitinib,1
1,0.1075235232710838,0.0072925854474306,0.14299309253692627,0.29465311765670776,0.007047929335385561,0.20510900020599365,0.2396615594625473,H1975,4.0,gefitinib,10
2,0.0605576150119304,0.0017861503874883,0.06755721569061279,0.2034710943698883,0.0019716250244528055,0.10647115111351013,0.1421050727367401,H1975,4.0,gefitinib,10
3,0.1430495977401733,0.0332142263650894,0.27122849225997925,0.4254623353481293,0.10562504082918167,0.3152065873146057,0.34022584557533264,H1975,4.0,gefitinib,10
1,0.0157472100108861,0.0025199092924594,0.14978523552417755,0.38814541697502136,0.001964099006727338,0.2175251543521881,0.26817214488983154,H1975,4.0,gefitinib,11
2,0.2163190841674804,0.0164867658168077,0.26346027851104736,0.5076358318328857,0.10088624805212021,0.31295615434646606,0.34306055307388306,H1975,4.0,gefitinib,11
3,0.1578923314809799,0.0141714569181203,0.2968635857105255,0.42792966961860657,0.1469491571187973,0.34711122512817383,0.3714151680469513,H1975,4.0,gefitinib,11
1,0.0001568810257595,2.223225419584196e-05,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,12
2,0.0365216061472892,0.0035250233486294,0.0536222867667675,0.20091237127780914,0.003273452166467905,0.08340899646282196,0.1087295338511467,H1975,4.0,gefitinib,12
3,0.1079201102256774,0.017238175496459,0.15625183284282684,0.42815300822257996,0.011900443583726883,0.22770074009895325,0.27702412009239197,H1975,4.0,gefitinib,12
4,0.1095279678702354,0.0039028148166835,0.09958794713020325,0.30191290378570557,0.00569240003824234,0.13561736047267914,0.16480238735675812,H1975,4.0,gefitinib,12
5,0.09662526845932,0.0134744057431817,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,12
6,0.2322368323802948,0.0073640416376292,0.19072113931179047,0.33525630831718445,0.0277277622371912,0.24469226598739624,0.27843520045280457,H1975,4.0,gefitinib,12
7,0.2054300755262375,0.0200377386063337,0.24101337790489197,0.3754621148109436,0.10693706572055817,0.28586867451667786,0.31149330735206604,H1975,4.0,gefitinib,12
1,0.1371677219867706,0.0104538733139634,0.2619512379169464,0.33854204416275024,0.144523024559021,0.29222169518470764,0.3110978603363037,H1975,4.0,gefitinib,13
2,0.0002502010320313,3.606743484851904e-05,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,13
3,0.3268036246299743,0.005533720832318,0.3507697582244873,0.4415946304798126,0.23399092257022858,0.3877153992652893,0.4066600203514099,H1975,4.0,gefitinib,13
1,0.1194999814033508,0.0130659043788909,0.21016547083854675,0.46595489978790283,0.0017525822622701526,0.2758423089981079,0.31304723024368286,H1975,4.0,gefitinib,14
2,0.1332329511642456,0.0058706323616206,0.12373849749565125,0.3292655944824219,0.000990856671705842,0.1712772399187088,0.2017059475183487,H1975,4.0,gefitinib,14
3,0.1278069466352462,0.0120757073163986,0.1710045486688614,0.35531601309776306,0.004581894725561142,0.22455976903438568,0.25603994727134705,H1975,4.0,gefitinib,14
1,0.114076517522335,0.0069720037281513,0.2932117283344269,0.37194669246673584,0.06263850629329681,0.32823821902275085,0.3420215845108032,H1975,4.0,gefitinib,15
2,0.0378788262605667,0.003822793951258,0.06877828389406204,0.18592293560504913,0.012112652882933617,0.10036630183458328,0.1282811015844345,H1975,4.0,gefitinib,15
3,0.1005307212471962,0.0049088941887021,0.10388584434986115,0.22964367270469666,0.0006022921879775822,0.1352783888578415,0.1559876948595047,H1975,4.0,gefitinib,15
4,0.214124858379364,0.0124018676578998,0.2387700378894806,0.37942031025886536,0.06161348521709442,0.28759637475013733,0.31377309560775757,H1975,4.0,gefitinib,15
1,0.0327664874494075,0.005552870221436,0.1567848175764084,0.5085166692733765,2.5902691049850546e-05,0.22415009140968323,0.2673179507255554,H1975,4.0,gefitinib,16
2,0.0172839630395174,0.0013990387087687,0.040758971124887466,0.15594232082366943,0.00042642003973014653,0.06093786284327507,0.07573952525854111,H1975,4.0,gefitinib,16
3,0.0147563442587852,0.0011748406104743,0.04427013918757439,0.1603829562664032,0.00017805479001253843,0.06936106830835342,0.08953985571861267,H1975,4.0,gefitinib,16
4,0.0563269704580307,0.0076183718629181,0.15524695813655853,0.37486496567726135,0.014889038167893887,0.21664297580718994,0.27250218391418457,H1975,4.0,gefitinib,16
5,0.0787315517663955,0.003082335460931,0.1380535066127777,0.20640335977077484,0.06169997528195381,0.169234961271286,0.1834811419248581,H1975,4.0,gefitinib,16
6,0.0275219287723302,0.0047581009566783,0.14747974276542664,0.3543655276298523,0.004594297148287296,0.21711210906505585,0.27775564789772034,H1975,4.0,gefitinib,16
1,0.1134931147098541,0.0056858626194298,0.13389952480793,0.31467166543006897,0.011402701959013939,0.18884603679180145,0.23782062530517578,H1975,4.0,gefitinib,17
2,0.1792974770069122,0.0030824446585029,0.1688844859600067,0.29534468054771423,0.04862251877784729,0.2001502513885498,0.2204068899154663,H1975,4.0,gefitinib,17
3,0.1312967389822006,0.0033902106806635,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,17
1,0.120611198246479,0.0017328328685835,0.20572125911712646,0.24505987763404846,0.12476556748151779,0.22701267898082733,0.2354898899793625,H1975,4.0,gefitinib,18
2,0.0002720561460591,4.237816028762609e-05,0.0690922960639,0.10872731357812881,0.029457272961735725,0.10872731357812881,0.10872731357812881,H1975,4.0,gefitinib,18
3,0.2626497745513916,0.0064297728240489,0.1479947715997696,0.24517053365707397,0.08510421961545944,0.17796370387077332,0.2003765106201172,H1975,4.0,gefitinib,18
4,0.2738274931907654,0.0095448968932032,0.2964555621147156,0.4938490092754364,0.11628107726573944,0.36237984895706177,0.4136974513530731,H1975,4.0,gefitinib,18
1,0.1352390646934509,0.0163015685975551,0.28168514370918274,0.3680696189403534,0.21118435263633728,0.31819432973861694,0.33826303482055664,H1975,4.0,gefitinib,2
2,0.10411237180233,0.0148414652794599,0.25510886311531067,0.4107758700847626,0.05565813556313515,0.31575843691825867,0.3469308018684387,H1975,4.0,gefitinib,2
1,0.2078307569026947,0.0038852298166602,0.23163028061389923,0.35581842064857483,0.12648071348667145,0.27088817954063416,0.29861801862716675,H1975,4.0,gefitinib,3
2,0.1175264939665794,0.0066339285112917,0.10676957666873932,0.31197652220726013,0.004511757288128138,0.14965060353279114,0.17566858232021332,H1975,4.0,gefitinib,3
1,0.1315575540065765,0.0194327048957347,0.2341897338628769,0.5714186429977417,0.017666004598140717,0.31166234612464905,0.36569714546203613,H1975,4.0,gefitinib,4
2,0.1737947463989257,0.0089731439948081,0.1606975942850113,0.3143657445907593,0.02154104970395565,0.20464295148849487,0.23384341597557068,H1975,4.0,gefitinib,4
1,0.0385331772267818,0.005470395553857,0.08952508866786957,0.2108493447303772,0.003442184068262577,0.13460442423820496,0.1667490303516388,H1975,4.0,gefitinib,5
2,2.4895834940252826e-05,3.1347371987067163e-06,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,5
1,8.134690688166302e-06,8.686720889272692e-07,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,6
2,0.0964592546224594,0.0056234416551887,0.11812937259674072,0.2378171980381012,0.002086831722408533,0.1752329170703888,0.20206716656684875,H1975,4.0,gefitinib,6
3,0.0992223843932151,0.0049737109802663,0.21091672778129578,0.3611365854740143,0.02347789704799652,0.2828170359134674,0.3125756084918976,H1975,4.0,gefitinib,6
1,0.0969302132725715,0.0017619824502617,0.15074123442173004,0.2843919098377228,0.0024803646374493837,0.20539982616901398,0.22511546313762665,H1975,4.0,gefitinib,7
2,0.0335293300449848,0.0047360407188534,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,7
3,0.054162461310625,0.0016726140165701,0.07597523927688599,0.16534575819969177,0.011056088842451572,0.10832364857196808,0.12936632335186005,H1975,4.0,gefitinib,7
1,0.1883574873208999,0.0063384380191564,0.2567662298679352,0.38482666015625,0.15135841071605682,0.29516416788101196,0.3228749930858612,H1975,4.0,gefitinib,8
2,0.1309792846441269,0.0023113433271646,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,8
1,0.1472256183624267,0.0027774642221629,0.15294957160949707,0.28439998626708984,0.03129562735557556,0.19035503268241882,0.2141113132238388,H1975,4.0,gefitinib,9
2,0.1134228929877281,0.004958439618349,0.10618247836828232,0.2722046375274658,0.0005428725271485746,0.14687906205654144,0.17564013600349426,H1975,4.0,gefitinib,9
1,0.0625125765800476,0.0009884034516289,0.04221300408244133,0.07628867775201797,0.003703148104250431,0.05415421351790428,0.062160976231098175,H1975,4.0,Osimertinib,0
2,0.0720453336834907,0.0010640938999131,0.05701824650168419,0.1063435971736908,0.01700759306550026,0.0741976872086525,0.0864284485578537,H1975,4.0,Osimertinib,0
1,0.0460507720708847,0.0006954863201826,0.0340983122587204,0.0896816998720169,0.00043784332228824496,0.04696626216173172,0.05672530457377434,H1975,4.0,Osimertinib,1
1,2.2106332835392092e-05,3.5642813145386758e-06,0.0,0.0,0.0,0.0,0.0,H1975,4.0,Osimertinib,10
2,1.048328704200685e-05,1.0802062888615185e-06,0.0,0.0,0.0,0.0,0.0,H1975,4.0,Osimertinib,10
3,4.683186489273794e-05,6.476272574218456e-06,0.0,0.0,0.0,0.0,0.0,H1975,4.0,Osimertinib,10
4,0.0197011120617389,0.0012681146617978,0.03244037553668022,0.11094771325588226,0.0002823108807206154,0.04810474067926407,0.06072266772389412,H1975,4.0,Osimertinib,10
5,0.1183886155486106,0.0028021323960274,0.05677366256713867,0.10889241844415665,0.019727502018213272,0.07414013892412186,0.08501043170690536,H1975,4.0,Osimertinib,10
1,0.0684158653020858,0.0029539910610765,0.03813254460692406,0.09973924607038498,0.0009320348035544157,0.05552119389176369,0.06717965006828308,H1975,4.0,Osimertinib,11
1,0.0746446251869201,0.00212147901766,0.040969058871269226,0.10341715812683105,0.005098051391541958,0.05823718383908272,0.07215356081724167,H1975,4.0,Osimertinib,13
2,0.0547761432826519,0.0014846044359728,0.029335476458072662,0.05312734842300415,0.01040749903768301,0.03757786378264427,0.043813906610012054,H1975,4.0,Osimertinib,13
3,0.0452236458659172,0.0035966366995126,0.03801847621798515,0.15832959115505219,1.880064155557193e-05,0.06093893572688103,0.07836567610502243,H1975,4.0,Osimertinib,13
4,0.0294632967561483,0.0034092685673385,0.0671471655368805,0.17041534185409546,0.0011565244058147073,0.10246874392032623,0.131018728017807,H1975,4.0,Osimertinib,13
5,0.0423678196966648,0.0044414089061319,0.048543620854616165,0.17953181266784668,0.0005851499154232442,0.0765075534582138,0.0991230234503746,H1975,4.0,Osimertinib,13
6,0.0184065140783786,0.0022079437039792,0.0,0.0,0.0,0.0,0.0,H1975,4.0,Osimertinib,13
1,0.1232256144285202,0.0033410771284252,0.04961737245321274,0.10854988545179367,0.008444122970104218,0.06337566673755646,0.07172559201717377,H1975,4.0,Osimertinib,14
2,0.0450635179877281,0.002626160858199,0.03880004957318306,0.12747061252593994,0.00039400733658112586,0.060035135596990585,0.07548128813505173,H1975,4.0,Osimertinib,14
3,0.02856370434165,0.0035944464616477,0.11279042065143585,0.2678452134132385,0.0037022128235548735,0.1762358397245407,0.21554812788963318,H1975,4.0,Osimertinib,14
1,0.0820950493216514,0.0027517958078533,0.05499757081270218,0.15455491840839386,0.002051400253549218,0.07929147034883499,0.09606356173753738,H1975,4.0,Osimertinib,15
